"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"BBB","2014B",25629,"F","Scotland","Lower Than A Level","20-30%","0-35",1,120,FALSE,"Withdrawn"
"BBB","2014B",25997,"F","London Region","A Level or Equivalent","20-30%","0-35",2,60,FALSE,"Withdrawn"
"BBB","2014B",27891,"M","Scotland","Lower Than A Level","0-10%","0-35",4,120,TRUE,"Fail"
"BBB","2014B",38941,"F","East Midlands Region","A Level or Equivalent","10-20","0-35",0,60,FALSE,"Fail"
"BBB","2014B",50069,"F","Scotland","A Level or Equivalent","30-40%","0-35",0,90,FALSE,"Fail"
"BBB","2014B",52426,"F","Scotland","Lower Than A Level","70-80%","35-55",1,60,FALSE,"Fail"
"BBB","2014B",55968,"F","Wales","Lower Than A Level","10-20","0-35",0,120,FALSE,"Fail"
"BBB","2014B",59725,"F","Wales","HE Qualification","40-50%","35-55",0,120,FALSE,"Distinction"
"BBB","2014B",60416,"F","East Anglian Region","Lower Than A Level","60-70%","0-35",1,60,FALSE,"Pass"
"BBB","2014B",60830,"F","South Region","HE Qualification","60-70%","0-35",0,120,FALSE,"Pass"
"BBB","2014B",63721,"F","South East Region","Lower Than A Level","80-90%","0-35",0,60,TRUE,"Distinction"
"BBB","2014B",64275,"F","West Midlands Region","Lower Than A Level","0-10%","0-35",2,60,TRUE,"Pass"
"BBB","2014B",72400,"F","East Anglian Region","A Level or Equivalent","60-70%","0-35",0,120,TRUE,"Distinction"
"BBB","2014B",75118,"F","North Western Region","Lower Than A Level","0-10%","0-35",0,150,TRUE,"Withdrawn"
"BBB","2014B",76196,"F","North Western Region","Lower Than A Level","0-10%","35-55",1,120,TRUE,"Withdrawn"
"BBB","2014B",78255,"F","North Region","Lower Than A Level","0-10%","0-35",2,120,FALSE,"Fail"
"BBB","2014B",80001,"F","South West Region","Lower Than A Level","30-40%","0-35",0,60,FALSE,"Fail"
"BBB","2014B",88340,"F","Wales","Lower Than A Level","30-40%","0-35",0,60,TRUE,"Withdrawn"
"BBB","2014B",89092,"F","Wales","Lower Than A Level","50-60%","0-35",2,60,FALSE,"Pass"
