"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"DDD","2013B",24213,"F","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,90,FALSE,"Withdrawn"
"DDD","2013B",40419,"M","East Midlands Region","Lower Than A Level","20-30%","35-55",0,60,FALSE,"Withdrawn"
"DDD","2013B",41060,"M","Ireland","HE Qualification","70-80%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",43284,"M","East Midlands Region","Lower Than A Level","80-90%","0-35",2,180,FALSE,"Withdrawn"
"DDD","2013B",45664,"M","Yorkshire Region","HE Qualification","60-70%","0-35",1,60,FALSE,"Pass"
"DDD","2013B",52014,"F","Wales","Lower Than A Level","0-10%","35-55",2,120,FALSE,"Fail"
"DDD","2013B",53488,"F","East Anglian Region","HE Qualification","90-100%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",53895,"M","North Region","A Level or Equivalent","60-70%","35-55",1,60,FALSE,"Withdrawn"
"DDD","2013B",55242,"F","North Western Region","Lower Than A Level","30-40%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",57359,"M","East Midlands Region","HE Qualification","40-50%","35-55",0,60,FALSE,"Withdrawn"
"DDD","2013B",60135,"F","West Midlands Region","A Level or Equivalent",NA,"0-35",0,60,FALSE,"Pass"
"DDD","2013B",66579,"M","South Region","Lower Than A Level","40-50%","35-55",0,60,FALSE,"Fail"
"DDD","2013B",67602,"M","Ireland","Lower Than A Level","30-40%","0-35",1,60,FALSE,"Pass"
"DDD","2013B",67785,"F","London Region","Lower Than A Level","20-30%","0-35",0,120,TRUE,"Pass"
"DDD","2013B",69491,"F","East Anglian Region","Lower Than A Level","80-90%","0-35",4,60,FALSE,"Pass"
"DDD","2013B",72451,"M","East Midlands Region","Lower Than A Level","90-100%","0-35",0,60,FALSE,"Withdrawn"
"DDD","2013B",76536,"F","West Midlands Region","Lower Than A Level","60-70%","0-35",1,120,FALSE,"Fail"
"DDD","2013B",77763,"M","East Anglian Region","HE Qualification","20-30%","35-55",0,150,FALSE,"Pass"
"DDD","2013B",81351,"M","Scotland","HE Qualification","90-100%","35-55",1,60,TRUE,"Fail"
"DDD","2013B",86047,"F","Wales","HE Qualification","20-30%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",87107,"F","South West Region","HE Qualification","70-80%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",89051,"M","North Western Region","A Level or Equivalent","30-40%","35-55",0,120,TRUE,"Pass"
"DDD","2013B",90836,"M","West Midlands Region","A Level or Equivalent","50-60%","0-35",0,180,TRUE,"Fail"
"DDD","2013B",92775,"F","North Region","Lower Than A Level","0-10%","0-35",1,60,TRUE,"Fail"
"DDD","2013B",94923,"F","Scotland","Lower Than A Level","30-40%","0-35",2,90,FALSE,"Fail"
"DDD","2013B",94964,"F","South West Region","Lower Than A Level","40-50%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",95356,"F","Scotland","HE Qualification","20-30%","0-35",0,90,FALSE,"Withdrawn"
"DDD","2013B",96592,"F","London Region","HE Qualification","20-30%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",96945,"M","West Midlands Region","A Level or Equivalent","30-40%","0-35",0,90,FALSE,"Withdrawn"
"DDD","2013B",103904,"M","South Region","HE Qualification","70-80%","0-35",0,60,FALSE,"Distinction"
"DDD","2013B",108565,"M","South West Region","A Level or Equivalent","20-30%","0-35",0,60,FALSE,"Withdrawn"
"DDD","2013B",110200,"F","London Region","Lower Than A Level","70-80%","0-35",0,90,FALSE,"Fail"
"DDD","2013B",111113,"M","North Region","Lower Than A Level","30-40%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",111360,"M","West Midlands Region","HE Qualification","30-40%","0-35",2,120,FALSE,"Withdrawn"
"DDD","2013B",112245,"M","South Region","HE Qualification","90-100%","35-55",0,60,FALSE,"Pass"
"DDD","2013B",117435,"M","South West Region","Lower Than A Level","30-40%","0-35",0,90,TRUE,"Withdrawn"
"DDD","2013B",117862,"M","West Midlands Region","A Level or Equivalent","10-20","0-35",1,60,FALSE,"Withdrawn"
"DDD","2013B",117939,"F","South East Region","Lower Than A Level","90-100%","35-55",0,60,FALSE,"Withdrawn"
"DDD","2013B",121000,"F","Wales","Lower Than A Level","40-50%","0-35",0,270,TRUE,"Fail"
"DDD","2013B",121390,"M","North Western Region","Lower Than A Level","10-20","35-55",0,60,FALSE,"Fail"
"DDD","2013B",124728,"F","North Western Region","A Level or Equivalent","10-20","35-55",0,150,TRUE,"Withdrawn"
"DDD","2013B",125677,"M","East Anglian Region","A Level or Equivalent","80-90%","35-55",3,150,FALSE,"Withdrawn"
"DDD","2013B",126912,"M","East Midlands Region","A Level or Equivalent","80-90%","35-55",1,60,FALSE,"Fail"
"DDD","2013B",128678,"F","London Region","A Level or Equivalent","40-50%","35-55",1,90,FALSE,"Fail"
"DDD","2013B",128965,"M","South West Region","A Level or Equivalent","60-70%","55<=",0,120,FALSE,"Withdrawn"
"DDD","2013B",130003,"F","East Anglian Region","Lower Than A Level","0-10%","0-35",2,60,FALSE,"Fail"
"DDD","2013B",131145,"M","South West Region","A Level or Equivalent","40-50%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",131235,"M","Yorkshire Region","Lower Than A Level","70-80%","35-55",0,60,FALSE,"Withdrawn"
"DDD","2013B",131609,"M","North Western Region","Lower Than A Level","40-50%","35-55",0,90,FALSE,"Withdrawn"
"DDD","2013B",134025,"M","London Region","A Level or Equivalent","60-70%","0-35",0,60,FALSE,"Distinction"
"DDD","2013B",134188,"M","South West Region","A Level or Equivalent","40-50%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",134336,"M","Scotland","A Level or Equivalent","80-90%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",137603,"M","Wales","Post Graduate Qualification","80-90%","35-55",0,60,FALSE,"Pass"
"DDD","2013B",138709,"M","North Region","Lower Than A Level","10-20","0-35",0,60,TRUE,"Withdrawn"
"DDD","2013B",141766,"F","Yorkshire Region","A Level or Equivalent","70-80%","0-35",1,120,FALSE,"Withdrawn"
"DDD","2013B",142819,"M","West Midlands Region","A Level or Equivalent","40-50%","0-35",0,90,FALSE,"Pass"
"DDD","2013B",142998,"F","North Western Region","HE Qualification","20-30%","35-55",0,120,TRUE,"Withdrawn"
"DDD","2013B",144923,"M","Scotland","Lower Than A Level","70-80%","35-55",1,120,FALSE,"Fail"
"DDD","2013B",146089,"M","North Western Region","HE Qualification","0-10%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",146651,"M","South Region","A Level or Equivalent","40-50%","0-35",2,60,FALSE,"Fail"
"DDD","2013B",147307,"M","Yorkshire Region","Lower Than A Level","80-90%","35-55",1,60,FALSE,"Withdrawn"
"DDD","2013B",150578,"F","North Region","Lower Than A Level","60-70%","35-55",0,60,FALSE,"Fail"
"DDD","2013B",157298,"M","South East Region","Lower Than A Level","20-30%","35-55",0,60,FALSE,"Pass"
"DDD","2013B",159596,"M","South West Region","HE Qualification","80-90%","0-35",0,60,FALSE,"Withdrawn"
"DDD","2013B",159925,"F","London Region","A Level or Equivalent","80-90%","0-35",2,70,FALSE,"Pass"
"DDD","2013B",160005,"F","Scotland","HE Qualification","10-20","35-55",0,60,FALSE,"Pass"
"DDD","2013B",160401,"M","Yorkshire Region","A Level or Equivalent","80-90%","0-35",1,60,FALSE,"Withdrawn"
"DDD","2013B",162984,"M","London Region","No Formal quals","20-30%","35-55",2,220,FALSE,"Withdrawn"
"DDD","2013B",163067,"F","South East Region","Lower Than A Level","40-50%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",165421,"M","Ireland","HE Qualification",NA,"35-55",0,60,FALSE,"Fail"
"DDD","2013B",165733,"M","Scotland","A Level or Equivalent","20-30%","0-35",0,60,TRUE,"Fail"
"DDD","2013B",166342,"M","North Region","A Level or Equivalent",NA,"0-35",0,60,FALSE,"Pass"
"DDD","2013B",166713,"M","North Region","Lower Than A Level","30-40%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",166988,"F","London Region","HE Qualification","70-80%","0-35",0,90,FALSE,"Pass"
"DDD","2013B",167123,"M","South East Region","Lower Than A Level","20-30%","0-35",1,160,FALSE,"Withdrawn"
"DDD","2013B",167717,"M","London Region","A Level or Equivalent","40-50%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",168243,"M","Wales","Lower Than A Level","20-30%","0-35",2,180,TRUE,"Withdrawn"
"DDD","2013B",169894,"M","South West Region","HE Qualification","20-30%","0-35",0,60,FALSE,"Withdrawn"
"DDD","2013B",170025,"F","East Anglian Region","HE Qualification","90-100%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",171896,"F","South East Region","A Level or Equivalent","40-50%","0-35",0,60,FALSE,"Pass"
"DDD","2013B",173004,"F","Ireland","HE Qualification","60-70%","0-35",0,90,FALSE,"Withdrawn"
"DDD","2013B",176092,"F","South West Region","A Level or Equivalent","80-90%","35-55",0,70,FALSE,"Pass"
"DDD","2013B",177333,"F","Scotland","Lower Than A Level","30-40%","0-35",0,120,FALSE,"Pass"
"DDD","2013B",177817,"M","East Midlands Region","HE Qualification","80-90%","0-35",0,120,FALSE,"Withdrawn"
"DDD","2013B",177981,"F","Scotland","HE Qualification","40-50%","0-35",1,60,FALSE,"Pass"
"DDD","2013B",178639,"M","North Western Region","Lower Than A Level","0-10%","35-55",0,60,FALSE,"Fail"
"DDD","2013B",179892,"F","London Region","HE Qualification","10-20","0-35",0,60,FALSE,"Pass"
"DDD","2013B",180667,"M","North Western Region","A Level or Equivalent","60-70%","35-55",0,60,FALSE,"Pass"
"DDD","2013B",180958,"M","Scotland","A Level or Equivalent","10-20","0-35",1,150,TRUE,"Pass"
"DDD","2013B",183714,"M","South West Region","Lower Than A Level","40-50%","0-35",0,60,TRUE,"Pass"
"DDD","2013B",184968,"F","South East Region","Lower Than A Level","70-80%","0-35",1,120,FALSE,"Withdrawn"
"DDD","2013B",187623,"M","East Midlands Region","A Level or Equivalent","70-80%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",191195,"F","Scotland","Lower Than A Level","10-20","0-35",0,120,TRUE,"Fail"
"DDD","2013B",191398,"M","North Western Region","Lower Than A Level","30-40%","0-35",1,210,FALSE,"Withdrawn"
"DDD","2013B",191491,"F","South Region","Lower Than A Level","10-20","35-55",0,60,FALSE,"Withdrawn"
"DDD","2013B",191896,"F","London Region","Lower Than A Level","10-20","35-55",0,60,FALSE,"Fail"
"DDD","2013B",191972,"M","Ireland","A Level or Equivalent","40-50%","0-35",4,120,FALSE,"Pass"
"DDD","2013B",192196,"M","London Region","Lower Than A Level","40-50%","35-55",0,60,FALSE,"Pass"
"DDD","2013B",196266,"F","Scotland","Lower Than A Level","10-20","0-35",0,240,FALSE,"Fail"
"DDD","2013B",196902,"F","Wales","A Level or Equivalent","70-80%","0-35",3,60,FALSE,"Withdrawn"
"DDD","2013B",198470,"F","South West Region","A Level or Equivalent","30-40%","0-35",0,60,FALSE,"Withdrawn"
"DDD","2013B",199782,"M","Wales","Lower Than A Level","40-50%","0-35",0,60,FALSE,"Fail"
"DDD","2013B",200588,"M","London Region","A Level or Equivalent","20-30%","0-35",1,150,FALSE,"Fail"
"DDD","2013B",200957,"M","South West Region","A Level or Equivalent","40-50%","0-35",1,120,FALSE,"Fail"
"DDD","2013B",202506,"M","Scotland","HE Qualification","20-30%","0-35",1,150,FALSE,"Fail"
"DDD","2013B",204996,"M","London Region","HE Qualification","40-50%","0-35",0,120,FALSE,"Pass"
